"name","label","geometry","site"
291,291,"43.9414 4.3850","ripisylves_gardon"
292,292,"43.9453 4.4684","ripisylves_gardon"
293,293,"43.9501 4.5193","ripisylves_gardon"
294,294,"43.9356 4.3087","ripisylves_gardon"
295,295,"43.9328 4.3130","ripisylves_gardon"
296,296,"43.9293 4.3281","ripisylves_gardon"
297,297,"43.9248 4.3221","ripisylves_gardon"
298,298,"43.9278 4.3286","ripisylves_gardon"
299,299,"43.9302 4.3329","ripisylves_gardon"
300,300,"43.9231 4.3500","ripisylves_gardon"
301,301,"43.9305 4.3609","ripisylves_gardon"
302,302,"43.9335 4.3699","ripisylves_gardon"
303,303,"43.9441 4.3791","ripisylves_gardon"
304,304,"43.9361 4.4181","ripisylves_gardon"
305,305,"43.9384 4.4287","ripisylves_gardon"
306,306,"43.9374 4.4320","ripisylves_gardon"
307,307,"43.9389 4.4381","ripisylves_gardon"
308,308,"43.9379 4.4381","ripisylves_gardon"
309,309,"43.9401 4.4445","ripisylves_gardon"
310,310,"43.9427 4.4607","ripisylves_gardon"
311,311,"43.9494 4.4727","ripisylves_gardon"
312,312,"43.9556 4.4837","ripisylves_gardon"
313,313,"43.9533 4.4918","ripisylves_gardon"
314,314,"43.9525 4.4924","ripisylves_gardon"
315,315,"43.9514 4.5028","ripisylves_gardon"
316,316,"43.9522 4.5089","ripisylves_gardon"
317,317,"43.9538 4.5093","ripisylves_gardon"
318,318,"43.9473 4.5180","ripisylves_gardon"
319,319,"43.9512 4.5372","ripisylves_gardon"
320,320,"43.9512 4.5501","ripisylves_gardon"
321,321,"43.9474 4.5565","ripisylves_gardon"
322,322,"43.9465 4.5307","ripisylves_gardon"
323,323,"43.9510 4.5455","ripisylves_gardon"
324,324,"43.9343 4.3072","ripisylves_gardon"
325,325,"43.9225 4.3307","ripisylves_gardon"
326,326,"43.9239 4.3357","ripisylves_gardon"
327,327,"43.9278 4.3517","ripisylves_gardon"
328,328,"43.9414 4.3759","ripisylves_gardon"
329,329,"43.9375 4.3857","ripisylves_gardon"
330,330,"43.9369 4.4223","ripisylves_gardon"
331,331,"43.9381 4.4291","ripisylves_gardon"
332,332,"43.9516 4.4818","ripisylves_gardon"
333,333,"43.9265 4.3203","ripisylves_gardon"
334,334,"43.9297 4.3224","ripisylves_gardon"
335,335,"43.9434 4.5578","ripisylves_gardon"
